"garden","site","lamp_dist","nlamps","highuv","pcveg","pcroad","date","ta","sr","fa","gracillariidae","yponomeutidae","oecophoridae","blastobasidae","tortricidae","crambidae","micro_other","geometridae","noctuidae","macro_other"
"A1","A",25,2,0,69.1,6.17,2013-07-01,26,9,5.04309377745281,0,0,0,0,1,4,0,6,15,0
"A1","A",25,2,0,69.1,6.17,2013-07-16,141,40,18.708100515402,0,1,1,0,17,33,0,35,52,2
"A1","A",25,2,0,69.1,6.17,2013-08-08,181,40,15.9443471988973,0,6,6,0,19,40,0,18,91,1
"A1","A",25,2,0,69.1,6.17,2013-08-22,125,34,15.5419174803563,2,8,1,3,10,46,0,3,52,0
"A1","A",25,2,0,69.1,6.17,2013-08-28,144,32,12.755481318988,0,5,1,4,13,25,0,12,84,0
"A1","A",25,2,0,69.1,6.17,2013-09-19,34,9,3.9961922562002,0,1,0,1,7,0,0,1,24,0
"A2","A",37,2,0,63.74,6.89,2013-07-01,22,10,7.47911668037592,0,0,0,0,4,2,0,1,15,0
"A2","A",37,2,0,63.74,6.89,2013-07-16,43,17,10.6252153299776,0,0,0,0,1,11,0,16,15,0
"A2","A",37,2,0,63.74,6.89,2013-08-08,38,25,31.7994537475186,0,6,1,0,5,6,0,2,18,0
"A2","A",37,2,0,63.74,6.89,2013-09-10,47,11,4.52050588391526,0,1,0,2,0,0,0,2,42,0
"A2","A",37,2,0,63.74,6.89,2013-09-16,6,4,5.24460493178456,0,0,1,0,0,0,0,0,5,0
"A2","A",37,2,0,63.74,6.89,2013-09-25,22,11,8.75498097303969,0,0,2,1,4,0,1,2,12,0
"A3","A",36,4,0,66.15,5.2,2013-06-28,29,17,18.3408343139575,0,0,0,0,4,1,1,7,15,1
"A3","A",36,4,0,66.15,5.2,2013-07-16,34,19,22.2686908357555,0,1,0,0,7,9,0,6,11,0
"A3","A",36,4,0,66.15,5.2,2013-08-06,106,26,11.0603440218405,0,6,1,0,1,1,0,29,65,3
"A3","A",36,4,0,66.15,5.2,2013-08-19,241,34,10.8150011735579,0,17,1,9,10,43,0,14,146,0
"A3","A",36,4,0,66.15,5.2,2013-08-27,146,30,11.4862603466794,0,6,1,6,9,21,1,8,94,0
"A3","A",36,4,0,66.15,5.2,2013-09-11,60,16,7.21966712079076,0,0,0,0,4,1,1,4,50,0
"A3","A",36,4,0,66.15,5.2,2013-09-18,34,11,5.64207184402509,0,0,1,2,4,0,0,3,24,0
"A4","A",34,2,0,76.88,5.17,2013-07-11,98,26,11.6407279461815,0,0,1,0,11,23,6,26,31,0
"A4","A",34,2,0,76.88,5.17,2013-07-25,191,35,12.6016513390412,0,18,14,0,0,29,0,51,76,3
"A4","A",34,2,0,76.88,5.17,2013-08-13,72,28,17.2968848801922,0,20,1,0,4,11,0,9,25,2
"A4","A",34,2,0,76.88,5.17,2013-08-27,142,28,10.4451699815349,1,10,1,9,14,13,1,6,87,0
"A4","A",34,2,0,76.88,5.17,2013-09-11,31,10,5.11735488291078,1,0,0,1,1,2,0,0,26,0
"A4","A",34,2,0,76.88,5.17,2013-09-16,10,4,2.47100426880245,0,0,0,0,1,0,0,0,9,0
"A5","A",33,2,0,68.44,6.04,2013-07-01,17,9,7.75257633587456,0,0,0,0,4,7,0,4,2,0
"A5","A",33,2,0,68.44,6.04,2013-07-18,165,50,24.8497894265982,0,2,3,0,15,34,1,43,61,6
"A5","A",33,2,0,68.44,6.04,2013-08-07,52,18,10.8851026029557,0,2,4,0,2,13,0,10,21,0
"A5","A",33,2,0,68.44,6.04,2013-08-20,107,24,9.78040248192123,2,11,1,3,5,31,1,2,50,0
"A5","A",33,2,0,68.44,6.04,2013-08-28,104,25,10.4416394824333,1,5,1,0,6,16,1,6,68,0
"A5","A",33,2,0,68.44,6.04,2013-09-18,8,4,3.18361888163792,0,0,0,0,2,0,0,0,6,0
"A6","A",36,2,0,60.05,6.17,2013-06-18,30,16,17.7098235207202,0,0,0,0,1,1,2,15,10,1
"A6","A",36,2,0,60.05,6.17,2013-07-09,164,44,19.7927339892631,0,0,3,0,12,50,1,41,51,6
"A6","A",36,2,0,60.05,6.17,2013-07-22,38,18,13.3756623006835,0,1,0,0,1,6,0,12,17,1
"A6","A",36,2,0,60.05,6.17,2013-08-08,136,41,20.1503336553134,0,5,5,0,17,20,0,8,75,4
"A6","A",36,2,0,60.05,6.17,2013-08-21,172,34,12.7800392947065,3,7,0,9,10,25,1,10,107,0
"A6","A",36,2,0,60.05,6.17,2013-08-29,161,27,9.33574552059149,0,1,1,4,20,12,2,8,113,0
"A6","A",36,2,0,60.05,6.17,2013-09-26,52,18,9.75315805935488,0,0,1,0,8,0,0,13,30,0
"B1","B",23,5,2,62.91,13.07,2013-06-25,64,26,17.7658481113966,0,0,0,0,7,3,1,30,20,3
"B1","B",23,5,2,62.91,13.07,2013-07-18,72,29,20.8243476944274,0,2,1,0,15,22,0,13,16,3
"B1","B",23,5,2,62.91,13.07,2013-08-07,81,25,12.4837001518295,1,1,0,0,6,20,0,31,22,0
"B1","B",23,5,2,62.91,13.07,2013-08-21,165,29,10.2286392398751,4,13,4,10,13,45,0,7,69,0
"B1","B",23,5,2,62.91,13.07,2013-08-29,106,28,12.5732482470241,1,3,2,8,11,24,2,4,51,0
"B1","B",23,5,2,62.91,13.07,2013-09-19,30,9,4.35926667865293,0,0,2,2,2,0,1,0,23,0
"B2","B",32,2,0,69.87,8.94,2013-06-28,24,12,10.1230481600217,0,0,0,0,2,1,0,5,14,2
"B2","B",32,2,0,69.87,8.94,2013-07-16,141,40,18.708100515402,0,0,0,0,7,52,2,34,42,4
"B2","B",32,2,0,69.87,8.94,2013-08-19,67,24,13.3900105245255,0,5,0,1,4,20,0,6,31,0
"B2","B",32,2,0,69.87,8.94,2013-08-28,113,27,11.2354933612749,0,5,2,3,6,6,0,6,85,0
"B2","B",32,2,0,69.87,8.94,2013-09-03,60,15,6.55990995470756,0,2,0,1,4,4,1,4,44,0
